title,open_date,quarter,n_aud,n_screen,n_show,distributor,director,actor,score,genre,actor_power,genre_power,distributor_power
그대 이름은 장미,2019.1.16,1,88054 ,540 ,7704 ,기타,조석현,"유호정, 박성웅, 오정세, 하연수, 이원근, 최우식, 채수빈",7 ,코미디,53769633 ,210105867 ,120697397 
터널 3D,2014.8.20,3,80989 ,264 ,5076 ,기타,박규택,"정유미, 연우진, 송재림, 정시연",6 ,"공포, 스릴러",20364076 ,121834602 ,120697397 
쓰리 썸머 나잇,2015.7.15,3,77621 ,297 ,5391 ,기타,김상진,"김동욱, 임원희, 손호준, 윤제문, 류현경",7 ,코미디,41228609 ,210105867 ,120697397 
엽기적인 그녀 2,2016.5.12,2,77124 ,387 ,6132 ,기타,조근식,"차태현, 빅토리아",3 ,"멜로/로맨스, 코미디",23168077 ,280298420 ,120697397 
회초리,2011.5.19,2,74765 ,142 ,4246 ,롯데,박광우,"안내상, 진지희",8 ,"코미디, 가족, 드라마",1817809 ,784905422 ,159188751 
Mr.아이돌,2011.11.3,4,74261 ,311 ,8669 ,롯데,라희찬,"박예진, 지현우, 김수로",7 ,드라마,2276942 ,554968598 ,159188751 
로맨틱 헤븐,2011.3.24,1,73729 ,260 ,8914 ,기타,장진,"김수로, 김동욱, 김지원, 이순재, 심은경, 임원희, 김준배",6 ,드라마,61360543 ,554968598 ,120697397 
정글히어로,2014.10.2,4,72047 ,287 ,2825 ,씨제이,박태동,"양세나, 심규혁, 김현지, 조성목, 남도형, 안장혁",8 ,애니메이션,3590569 ,15798986 ,332822481 
번개맨,2016.2.11,1,69363 ,393 ,4644 ,기타,강유선,"서홍석, 유수호, 최오식, 이상철, 김수미, 김혜원",9 ,뮤지컬,4588592 ,69363 ,120697397 
극장판 반지의 비밀일기,2019.9.11,3,68339 ,459 ,3602 ,기타,한승우,"방연지, 김선혜, 조경이, 채민지",9 ,애니메이션,863769 ,15798986 ,120697397 
닥터,2013.6.20,2,68312 ,163 ,4131 ,기타,김성홍,"김창완, 배소은, 박건우",6 ,"스릴러, 공포",204936 ,121834602 ,120697397 
여곡성,2018.11.8,4,67368 ,212 ,4463 ,기타,유영선,"서영희, 손나은, 이태리, 박민지",4 ,"공포, 미스터리",1858431 ,56802025 ,120697397 
올레,2016.8.25,3,66883 ,338 ,5126 ,기타,채두병,"신하균, 박희순, 오만석, 유다인",7 ,"코미디, 드라마",38369448 ,765074465 ,120697397 
"사랑한다, 사랑하지 않는다",2011.3.3,1,66680 ,80 ,4571 ,넥스트,이윤기,"임수정, 현빈",6 ,멜로/로맨스,26218620 ,70192553 ,160156018 
뷰티풀 투모로우,2017.10.26,4,63279 ,47 ,1390 ,씨제이,장재혁,"박효신, 정재일",9 ,드라마,126558 ,554968598 ,332822481 
헤드,2011.5.26,2,61414 ,196 ,6934 ,기타,조운,"박예진, 백윤식, 류덕환",5 ,"액션, 코미디",23937141 ,514450077 ,120697397 
결정적 한방,2011.12.7,4,60944 ,160 ,6266 ,기타,박중구,"유동근, 윤진서, 김정훈, 오광록",6 ,"드라마, 코미디",2382210 ,765074465 ,120697397 
번개맨과 신비의 섬,2018.4.5,2,60561 ,191 ,2560 ,기타,김지열,"서홍석, 홍민아, 유수호, 최오식, 이상철, 김수미",9 ,가족,4579790 ,19830957 ,120697397 
두 남자,2016.11.30,4,60365 ,397 ,7199 ,기타,이성태,"마동석, 최민호",6 ,"범죄, 액션",78759039 ,457001390 ,120697397 
쩨쩨한 로맨스,2010.12.1,4,57948 ,83 ,1692 ,롯데,김정훈,"이선균, 최강희",9 ,"멜로/로맨스, 코미디",27320121 ,280298420 ,159188751 
달빛 길어올리기,2011.3.17,1,57261 ,128 ,4971 ,씨제이,임권택,"박중훈, 강수연, 예지원, 안병경, 장항선",7 ,드라마,1495269 ,554968598 ,332822481 
빅뱅 메이드,2016.6.30,2,55582 ,56 ,1794 ,씨제이,변진호,"G-DRAGON, 태양, T.O.P, 대성, 승리, 빅뱅",9 ,다큐멘터리,5397133 ,2246805 ,332822481 
더 킥,2011.11.3,4,51024 ,153 ,4506 ,쇼박스,프라차야 핀카엡,"조재현, 예지원, 나태주, 태미, 지자 야닌, 이관훈, 멈",7 ,액션,6602311 ,304344210 ,194689255 
혈투,2011.2.24,1,43947 ,169 ,5277 ,기타,박훈정,"박희순, 진구, 고창석",5 ,"전쟁, 액션, 드라마",56558902 ,881359537 ,120697397 
김종욱 찾기,2010.12.8,4,40447 ,49 ,1007 ,씨제이,장유정,"임수정, 공유",8 ,"멜로/로맨스, 코미디",37836316 ,280298420 ,332822481 
